ID,Species,Island,Sex
1,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
2,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
3,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
4,Adelie Penguin (Pygoscelis adeliae),Torgersen,
5,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
7,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
9,Adelie Penguin (Pygoscelis adeliae),Torgersen,
10,Adelie Penguin (Pygoscelis adeliae),Torgersen,
11,Adelie Penguin (Pygoscelis adeliae),Torgersen,
12,Adelie Penguin (Pygoscelis adeliae),Torgersen,
13,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
14,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
15,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
16,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
17,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
18,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
19,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
20,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
21,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
22,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
23,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
24,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
25,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
26,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
27,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
28,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
29,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
30,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
31,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
32,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
33,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
34,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
35,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
36,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
37,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
38,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
39,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
40,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
41,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
42,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
43,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
44,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
45,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
46,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
47,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
48,Adelie Penguin (Pygoscelis adeliae),Dream,
49,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
50,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
51,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
52,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
53,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
54,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
55,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
56,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
57,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
58,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
59,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
60,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
61,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
62,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
63,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
64,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
65,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
66,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
67,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
68,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
69,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
70,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
71,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
72,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
73,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
74,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
75,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
76,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
77,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
78,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
79,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
80,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
81,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
82,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
83,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
84,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
85,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
86,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
87,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
88,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
89,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
90,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
91,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
92,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
93,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
94,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
95,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
96,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
97,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
98,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
99,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
100,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
101,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
102,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
103,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
104,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
105,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
106,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
107,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
108,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
109,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
110,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
111,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
112,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
113,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
114,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
115,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
116,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
117,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
118,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
119,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
120,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
121,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
122,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
123,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
124,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
125,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
126,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
127,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
128,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
129,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
130,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
131,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
132,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
133,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
134,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
135,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
136,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
137,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
138,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
139,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
140,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
141,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
142,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
143,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
144,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
145,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
146,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
147,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
148,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
149,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
150,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
151,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
152,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
153,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
154,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
155,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
156,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
157,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
158,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
159,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
160,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
161,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
162,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
163,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
164,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
165,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
166,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
167,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
168,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
169,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
170,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
171,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
172,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
173,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
174,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
175,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
176,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
177,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
178,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
179,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
180,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
181,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
182,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
183,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
184,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
185,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
186,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
187,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
188,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
189,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
190,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
191,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
192,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
193,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
194,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
195,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
196,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
197,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
198,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
199,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
200,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
201,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
202,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
203,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
204,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
205,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
206,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
207,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
208,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
209,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
210,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
211,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
212,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
213,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
214,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
215,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
216,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
217,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
218,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
219,Chinstrap penguin (Pygoscelis antarctica),Dream,MALE
220,Chinstrap penguin (Pygoscelis antarctica),Dream,FEMALE
221,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
222,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
223,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
224,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
225,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
226,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
227,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
228,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
229,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
230,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
231,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
232,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
233,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
234,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
235,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
236,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
237,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
238,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
239,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
240,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
241,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
242,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
243,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
244,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
245,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
246,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
247,Gentoo penguin (Pygoscelis papua),Biscoe,
248,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
249,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
250,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
251,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
252,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
253,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
254,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
255,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
256,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
257,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
258,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
259,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
260,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
261,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
262,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
263,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
264,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
265,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
266,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
267,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
268,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
269,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
270,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
271,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
272,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
273,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
274,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
275,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
276,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
277,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
278,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
279,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
280,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
281,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
282,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
283,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
284,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
285,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
286,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
287,Gentoo penguin (Pygoscelis papua),Biscoe,
288,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
289,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
290,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
291,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
292,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
293,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
294,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
295,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
296,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
297,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
298,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
299,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
300,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
301,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
302,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
303,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
304,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
305,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
306,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
307,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
308,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
309,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
310,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
311,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
312,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
313,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
314,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
315,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
316,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
317,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
318,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
319,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
320,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
321,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
322,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
323,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
324,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
325,Gentoo penguin (Pygoscelis papua),Biscoe,
326,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
327,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
328,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
329,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
330,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
331,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
332,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
333,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
334,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
335,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
336,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
337,Gentoo penguin (Pygoscelis papua),Biscoe,.
338,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
339,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
340,Gentoo penguin (Pygoscelis papua),Biscoe,
341,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
342,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
343,Gentoo penguin (Pygoscelis papua),Biscoe,FEMALE
344,Gentoo penguin (Pygoscelis papua),Biscoe,MALE
